client_cd,order_cd,pro_seq,pro_status_cd
4113,901,1,39-40-3-4-10-202-11-203
4214,209759,1,10-200-201-11-12-430-13-431-39-40
4221,222080,1,11-203-10-202-39-40
4221,222080,2,11-10-202-203-39-40
4221,222657,1,39-40-11-3-4-10-202-203
4226,227602,1,3-4-11-39-40
4226,227638,1,10-202-203-11-39-40-3-4
4226,227640,1,39-40-3-4-10-202-203-11
4226,227642,1,10-202-11-203-39-40-3-4
4226,227920,1,12-372-39-40-3-4-10-202-203-11-13-373
4226,227927,1,203-11-479-13-3-4-39-40-10-202-12-478
4226,227941,1,3-10-202-11-203-39-40
4226,228271,1,3-4-10-202-11-203-39-40
4226,228280,1,10-202-203-11-39-40-3-4-5-6
4248,505089,1,39-3-40-4-10-204-205-11-12-310-13-311
4248,505089,2,39-3-40-4-10-204-11-205-12-310-13-311
4248,505089,3,39-3-40-4-10-204-205-11-12-310-13-311
4248,505089,4,39-3-40-4-10-204-205-11-12-310-13-311
4248,505089,5,39-3-40-4-10-204-205-11-12-310-13-311
4248,505089,6,39-3-40-4-10-204-11-205-12-310-13-311
4248,505089,7,39-3-40-4-10-204-11-205-12-310-13-311
4248,505089,8,39-3-40-4-10-204-205-11-12-310-13-311
4248,505089,9,39-3-40-4-10-204-205-11-12-310-13-311
4248,505089,10,39-3-40-4-10-204-205-11-12-310-13-311
4248,505090,1,3-4-39-40-12-310-13-311-10-204-205-11
4248,505090,2,3-4-39-40-12-310-13-311-10-204-205-11
4248,505090,3,3-4-39-40-12-310-13-311-10-204-205-11
4248,505090,4,3-4-39-40-12-310-311-13-10-204-205-11
4248,505090,5,3-4-39-40-12-310-13-311-10-204-205-11
4248,505090,6,3-4-39-40-12-310-311-13-10-204-205-11
4248,505090,7,3-4-39-40-12-310-13-311-10-204-205-11
4248,505090,8,3-4-39-40-12-310-311-13-10-204-205-11
4248,505090,9,3-4-39-40-12-310-13-311-10-204-205-11
4248,505090,10,3-4-39-40-12-310-311-13-10-204-205-11
4248,505442,1,3-4-10-202-11-203-39-40
4258,512408,1,10-204-205-11-39-40-3-4
4258,512408,2,10-204-205-11-39-40-3-4
